Gene,score,was used in training,link to MGI
Lrp8,1.2069,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Lrp8
Cyp46a1,1.1895,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cyp46a1
Col9a1,1.1716,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Col9a1
Stac,1.1632,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Stac
Col9a3,1.1211,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Col9a3
Tjp2,1.1198,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tjp2
Gpr177,1.1157,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Gpr177
Pigs,1.1126,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Pigs
2810048G17Rik,1.1102,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=2810048G17Rik
Mpdz,1.1022,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Mpdz
Casq2,1.0954,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Casq2
4933433P14Rik,1.0949,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=4933433P14Rik
Fabp7,1.0826,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Fabp7
Oit1,1.0659,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Oit1
Tlcd1,1.0659,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tlcd1
2410024A21Rik,1.0419,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=2410024A21Rik
Hes3,1.0222,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Hes3
Ktn1,1.0199,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=Ktn1
Rnh1,1.0183,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Rnh1
Nef3,1.0155,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Nef3
Ptpn2,1.0126,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Ptpn2
Slc35f1,0.98354,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Slc35f1
Tmem16f,0.96926,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tmem16f
Tm6sf1,0.9655,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tm6sf1
Krt27,0.95712,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Krt27
Tmem66,0.95464,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tmem66
Cacna1g,0.9529,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cacna1g
Rpa1,0.93666,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Rpa1
Man1a,0.93387,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Man1a
Ibrdc3,0.92954,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Ibrdc3
Birc2,0.92824,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Birc2
Tspan15,0.92541,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tspan15
Aldh2,0.91285,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Aldh2
Lrrfip1,0.90415,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Lrrfip1
3110047P20Rik,0.89912,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=3110047P20Rik
Sdf2,0.89342,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Sdf2
LOC640526,0.88723,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=LOC640526
1200009O22Rik,0.87059,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=1200009O22Rik
Sdc4,0.85493,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Sdc4
Steap2,0.8516,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Steap2
Sec22b,0.8506,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Sec22b
Cdh2,0.84536,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cdh2
Stt3b,0.83752,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Stt3b
Trappc5,0.83609,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Trappc5
Krt25,0.83455,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=Krt25
Smox,0.83315,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Smox
8430431K14Rik,0.83233,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=8430431K14Rik
Mettl3,0.83177,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Mettl3
Dag1,0.82447,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Dag1
Trib2,0.82361,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Trib2
Fxyd1,0.82358,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Fxyd1
Kcnma1,0.81681,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Kcnma1
Txndc14,0.81091,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Txndc14
Pcdhac2,0.80982,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Pcdhac2
Yipf3,0.80845,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Yipf3
Atg4b,0.80259,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Atg4b
Tmem111,0.79528,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tmem111
Paqr6,0.78782,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Paqr6
Galnt1,0.76655,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Galnt1
Casc4,0.76531,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Casc4
Sec15l2,0.76304,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Sec15l2
5730469M10Rik,0.76278,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=5730469M10Rik
Bcap29,0.7608,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Bcap29
Nedd8,0.75286,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Nedd8
Apbb2,0.73202,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Apbb2
Klhl26,0.73095,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=Klhl26
Alkbh7,0.73013,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Alkbh7
Sumf1,0.72495,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Sumf1
Vim,0.72352,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Vim
Ust,0.71967,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Ust
Anxa6,0.71784,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Anxa6
Zdhhc7,0.71552,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Zdhhc7
Atrx,0.70531,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Atrx
BC011467,0.7024,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=BC011467
Cacng5,0.70135,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cacng5
Pcx,0.69177,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Pcx
Pfkfb3,0.69029,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Pfkfb3
Rasal2,0.68742,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Rasal2
Hiatl1,0.68062,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Hiatl1
2900064A13Rik,0.66945,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=2900064A13Rik
Tm9sf2,0.6651,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tm9sf2
Ier3ip1,0.65443,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Ier3ip1
8430422B01Rik*,0.6343,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=8430422B01Rik*
Glo1,0.6342,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Glo1
Opn3,0.6314,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Opn3
AW046396,0.63042,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=AW046396
Gdf11,0.62862,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Gdf11
Prkcsh,0.62034,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Prkcsh
Kcnc3,0.61479,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Kcnc3
Pdhx,0.61244,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Pdhx
Spag5,0.61128,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Spag5
Cap2,0.60928,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cap2
Sat1,0.60911,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Sat1
Sh3d19,0.60261,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Sh3d19
Ranbp5,0.6021,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Ranbp5
E430039J23Rik*,0.59668,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=E430039J23Rik*
Kcnip4,0.58437,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Kcnip4
Cs,0.58244,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cs
5830416A07Rik,0.58043,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=5830416A07Rik
Id4,0.57655,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Id4
BC005537,0.57572,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=BC005537
Cacna2d2,0.56505,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cacna2d2
Rgs8,0.56473,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Rgs8
Pebp1,0.55949,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Pebp1
6030419C18Rik,0.55947,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=6030419C18Rik
Usp6nl,0.55109,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Usp6nl
Prdx3,0.55065,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Prdx3
Suox,0.55051,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Suox
Cd8b1,0.54791,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cd8b1
Ankrd40,0.54759,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Ankrd40
Gdpd1,0.54348,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Gdpd1
